Country,NCDDeath2000,NCDDeath2012,Obese2014,Obese2010,Cardio2000,Cardio2012,HealthWorkers2000,HealthWorkers2001,HealthWorkers2002,HealthWorkers2003,HealthWorkers2004,HealthWorkers2005,HealthWorkers2006,HealthWorkers2007,HealthWorkers2008,HealthWorkers2009,HealthWorkers2010,HealthWorkers2011,HealthWorkers2012,HealthWorkers2013
Afghanistan,905.5,846.3,2.9,2.4,542.3,511.5,0,10011,0,0,0,16730,17018,19294,31938,36592,19981,20757,22003,27297
Albania,840,671.6,17.6,16.1,560.5,436.2,0,0,0,0,0,0,0,0,0,17317,4964,4966,16574,18605
Algeria,737.5,710.4,24.8,22.6,434.7,396.6,0,0,139091,0,0,148236,0,251580,0,0,0,0,0,0
Angola,739.6,768.4,10.2,8.3,383.4,374.6,0,0,0,0,23074,0,0,0,0,37983,0,0,0,0
Argentina,509.4,467.3,26.3,23.7,226.6,191.7,0,285988,0,0,295572,0,0,0,0,0,0,0,0,160041
Armenia,745.8,847.5,19.5,17.8,415.4,473.9,0,0,0,0,0,0,0,0,0,29333,29715,30131,30273,30081
Australia,384.5,302.9,28.6,26,154.7,92.4,0,321441,0,0,0,0,546430,0,0,397200,121241,368356,37860,0
Austria,450,359.5,18.4,16.7,215.7,145.9,0,0,0,112480,0,0,0,0,0,0,0,0,0,0
Azerbaijan,844.3,664.3,22.5,19.4,551.7,442.2,0,0,0,0,0,0,0,0,0,109567,104099,99476,99794,99493
Bahamas,476.1,465.2,36.2,33.5,224.2,220,0,0,0,0,0,0,0,0,2927,0,0,0,0,0
Bahrain,631.7,505.7,35.1,32.5,283,187.2,3231,3523,3542,3673,7328,4250,4582,5700,5101,5303,5500,5674,5768,0
Bangladesh,585.2,548.9,3.6,2.9,185.1,166.2,0,32498,14806,73698,158813,120320,84672,147946,0,0,0,154342,0,0
Barbados,490.4,404.5,31.3,28.3,172.4,128.1,2728,2643,0,0,0,2468,0,0,0,0,0,0,0,0
Belarus,816.6,682.5,23.4,21,555.5,464.2,0,0,0,0,0,0,0,0,0,142601,141138,143995,147972,146782
Belgium,441.1,356.8,20.2,18.7,172.2,111.1,0,0,11775,60142,0,54439,55789,75000,82052,246845,324858,299296,335592,363935
Belize,534.7,470.7,22.5,20.8,235,190.7,586,0,0,0,0,0,0,0,0,1279,0,0,0,0
Benin,775.1,761.5,9.3,8,368,372.5,0,0,0,0,6996,0,0,0,8290,0,0,0,0,0
Bhutan,652,572.8,6.7,5.5,213,194.3,0,0,0,0,1584,0,0,1741,1985,0,0,0,2473,0
Bolivia (Plurinational State of),708.4,635.3,17.1,15.3,315.3,269.5,0,45611,0,0,0,0,0,11239,0,0,16329,19315,0,0
Bosnia and Herzegovina,593.8,512.5,17.9,16.8,353.7,310.7,0,0,0,0,0,0,0,0,0,27667,28479,28950,29941,29738
Botswana,559.9,612.2,22.4,19.4,286.5,323.7,6087,5325,5544,5843,7117,5854,6517,0,10311,10780,0,0,0,0
Brazil,617,513.8,20,17.8,288.8,214.2,1547304,1023727,1049418,1131820,1183772,1350670,1389450,1934430,2131750,647048,2257471,365231,0,1898887
Brunei Darussalam,484.1,475.3,18.1,15.9,208.5,211.1,1770,0,2620,0,2497,2510,2485,2458,2632,2525,3599,4328,4782,0
Bulgaria,764,638.2,23.2,21.2,526.6,406.3,0,1020,0,0,0,0,0,0,0,0,34352,0,70699,0
Burkina Faso,685.3,784,6.3,5.3,228.4,373.7,0,0,0,0,11291,0,9401,0,12317,0,14907,0,0,0
Burundi,681.9,729.5,2.6,2,296.9,311.6,0,0,0,0,3628,0,0,0,0,0,0,172,0,0
Côte d'Ivoire,706.2,794,9.2,7.9,293.5,336.1,0,0,0,0,15107,15257,0,0,17223,0,0,0,0,0
Cabo Verde,607.6,482.1,13,11,336.8,249.9,0,0,0,0,889,0,456,468,475,468,519,527,0,0
Cambodia,472.3,394,3.2,2.3,222.5,184.7,13945,0,0,0,1638,0,0,0,16474,16703,16994,16945,16198,0
Cameroon,660.9,675.2,11.4,9.8,291.1,285.7,0,0,0,0,31850,10306,0,15776,0,17078,0,0,0,0
Canada,404.5,318,28,25.9,150.8,88.6,17789,549620,542813,349433,581176,341262,603311,411211,626537,449368,449193,336679,35555,0
Central African Republic,554,550.8,5.1,4.4,248.5,244.4,0,0,0,0,2749,0,0,0,3176,3593,0,0,0,0
Chad,709.6,712.6,8.1,7.1,303.2,306.6,1276,0,0,0,3864,0,2259,0,0,0,0,0,0,0
Chile,431.9,366.5,27.8,25.3,157.2,115.1,0,0,20011,22534,24045,24297,27546,27787,30097,30126,0,0,0,0
China,660.9,576.3,6.9,5.3,302.4,300,6679712,4632520,4911772,2133737,4546416,4708801,4836427,4938720,5148833,6923461,6427842,8220704,0,0
Colombia,434.3,377.3,21,19,201.1,150.2,30344,54310,116652,58706,60947,126023,130137,134285,138469,142686,146957,0,0,0
Comoros,756.6,695.5,6.6,5.6,385.1,329.6,0,0,0,0,904,0,0,0,0,0,0,0,0,0
Congo,627.3,632.3,11,9.5,336.7,334.5,0,0,0,0,6183,0,10349,4653,0,0,0,0,0,0
Costa Rica,434,391.8,24.3,21.9,178.9,140.1,26579,0,0,0,0,0,0,0,0,0,0,3779,0,11507
Croatia,629.4,495.8,23.3,21.4,367.4,237.4,0,0,0,0,0,0,0,0,0,0,0,0,3070,0
Cuba,448,421.8,25.2,22.5,225.1,185,75914,76202,160914,78184,80165,81148,82240,298798,85786,86452,269945,0,0,0
Cyprus,517.1,333,23.8,22,253.7,137.9,556,0,3138,0,0,0,638,6478,7684,7908,8175,0,3641,0
Czech Republic,599.2,460.7,26.8,25.3,341.2,239,0,0,0,48307,0,0,0,0,0,0,0,0,8041,0
Democratic People's Republic of Korea,865.4,751.4,2.4,2.2,405.5,351.6,0,0,0,261415,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,679.9,724.4,4.4,3.7,341.5,359.6,0,0,0,0,37529,0,0,0,0,0,0,0,308,0
Denmark,505.2,406.1,19.3,17.7,189.1,108.3,8222,123591,20090,105802,104732,92333,0,0,115728,119382,123961,0,0,0
Djibouti,686.5,631.1,9.6,8.3,328.8,277.1,0,0,550,0,719,957,619,0,1031,0,0,0,0,0
Dominican Republic,448,396,23.9,21,249.5,198.9,41352,0,0,0,0,0,0,0,20027,15410,0,31373,0,0
Ecuador,456.6,409.7,18.7,16.8,177.6,149.3,52130,53542,55939,53614,0,0,0,0,0,67691,0,75010,0,0
Egypt,838.3,781.7,28.9,26.2,476.3,445.1,0,0,0,38485,197033,545620,0,571785,0,672709,0,0,0,0
El Salvador,503.4,474.9,21.8,20,205.3,171,0,0,16506,0,0,24972,0,0,29146,0,0,0,0,0
